,index,0
0,beer,4921
1,head,3818
2,taste,3167
3,chocolate,2925
4,dark,2835
5,like,2513
6,sweet,2476
7,coffee,2262
8,bourbon,2197
9,vanilla,2116
10,notes,2063
11,nice,2056
12,nose,2053
13,light,1965
14,good,1945
15,medium,1825
16,finish,1800
17,orange,1788
18,just,1781
19,carbonation,1758
20,pours,1753
21,fruit,1747
22,aroma,1730
23,white,1689
24,black,1670
25,body,1665
26,bottle,1665
27,bit,1630
28,mouthfeel,1629
29,overall,1625
30,barrel,1616
31,really,1537
32,flavor,1521
33,oak,1492
34,lacing,1437
35,brown,1435
36,great,1426
37,glass,1423
38,little,1416
39,smooth,1415
40,citrus,1340
41,flavors,1310
42,smell,1270
43,feel,1255
44,color,1230
45,malt,1201
46,caramel,1140
47,poured,1136
48,bitterness,1135
49,creamy,1123
50,sweetness,1082
51,dry,1051
52,stout,1035
53,maple,935
54,sour,923
55,big,920
56,rich,909
57,hazy,882
58,grapefruit,874
59,balanced,854
60,coconut,851
61,hop,832
62,alcohol,825
63,tropical,825
64,bitter,825
65,palate,820
66,ve,812
67,tart,800
68,best,793
69,funk,787
70,hops,775
71,quite,762
72,slightly,738
73,pineapple,728
74,mango,727
75,bodied,710
76,pour,699
77,abv,688
78,finger,687
79,hint,671
80,cinnamon,669
81,smells,661
82,roasted,659
83,juicy,658
84,peach,655
85,wine,648
86,beers,643
87,touch,638
88,slight,634
89,fresh,631
90,complex,631
91,time,629
92,retention,619
93,way,616
94,pretty,613
95,moderate,611
96,ipa,608
97,soft,605
98,malts,603
99,strong,601
100,balance,598
101,lemon,584
102,super,580
103,sugar,569
104,excellent,565
105,mouth,562
106,heavy,561
107,definitely,560
108,aromas,559
109,pine,557
110,tan,557
111,lots,552
112,juice,547
113,mild,546
114,drink,544
115,fruits,544
116,molasses,535
117,yellow,532
118,deep,532
119,style,531
120,better,530
121,perfect,525
122,amazing,524
123,quickly,522
124,cherry,521
125,toffee,519
126,fruity,505
127,end,501
128,earthy,493
129,appearance,492
130,lot,482
131,dank,480
132,look,477
133,huge,476
134,vintage,473
135,boozy,473
136,character,471
137,cocoa,471
138,aged,469
139,golden,468
140,think,464
141,sticky,464
142,red,459
143,roast,459
144,try,457
145,delicious,454
146,brew,449
147,follows,447
148,foam,441
149,floral,439
150,long,436
151,bright,431
152,heat,431
153,high,431
154,low,430
155,booze,429
156,small,423
157,syrup,418
158,milk,412
159,tastes,409
160,amp,406
161,apricot,391
162,minimal,390
163,subtle,389
164,base,385
165,honey,381
166,old,380
167,right,379
168,maybe,377
169,12,377
170,green,375
171,snifter,373
172,don,370
173,easy,367
174,comes,367
175,opaque,366
176,oz,364
177,hints,362
178,fantastic,361
179,note,359
180,sip,354
181,funky,353
182,love,353
183,finishes,350
184,doesn,349
185,apple,348
186,solid,343
187,beautiful,342
188,drinking,342
189,stouts,341
190,expected,339
191,ring,337
192,fudge,336
193,tulip,332
194,got,330
195,fairly,329
196,pale,327
197,sure,327
198,clear,325
199,lingering,324
200,acidity,324
201,10,323
202,complexity,323
203,presence,320
204,leaves,319
205,worth,317
206,profile,315
207,years,313
208,roasty,312
209,tangerine,307
210,ale,307
211,tartness,306
212,wood,305
213,thanks,305
214,does,303
